"Year","Current_year_Ranking","Countries","Overall_Earnings","Number_of_Players"
2018,1,"United States","$30,759,242.29","4412 Players"
2018,2,"China","$22,842,722.32","1460 Players"
2018,3,"Korea, Republic of","$14,525,776.11","1283 Players"
2018,4,"Denmark","$10,617,906.40","432 Players"
2018,5,"Finland","$7,588,236.19","365 Players"
2018,6,"France","$6,506,818.26","1076 Players"
2018,7,"Sweden","$6,505,555.90","553 Players"
2018,8,"Russian Federation","$6,343,270.12","901 Players"
2018,9,"Canada","$5,366,853.24","783 Players"
2018,10,"Germany","$4,553,609.63","908 Players"
2018,11,"Australia","$4,248,986.71","780 Players"
2018,12,"Brazil","$3,753,131.47","820 Players"
2018,13,"United Kingdom","$3,312,451.10","870 Players"
2018,14,"Poland","$3,107,179.87","555 Players"
2018,15,"Japan","$2,859,578.33","372 Players"
2018,16,"Ukraine","$2,656,585.11","208 Players"
2018,17,"Malaysia","$2,482,681.23","284 Players"
2018,18,"Taiwan, Republic of China","$2,161,686.35","342 Players"
2018,19,"Thailand","$1,998,360.24","460 Players"
2018,20,"Netherlands","$1,972,416.41","341 Players"
2018,21,"Philippines","$1,685,755.98","256 Players"
2018,22,"Bulgaria","$1,385,781.44","100 Players"
2018,23,"Turkey","$1,330,935.22","215 Players"
2018,24,"Jordan","$1,145,049.27","13 Players"
2018,25,"Norway","$1,122,846.00","230 Players"
2018,26,"Spain","$1,096,435.49","430 Players"
2018,27,"Israel","$1,018,137.57","59 Players"
2018,28,"Viet Nam","$963,465.76","358 Players"
2018,29,"Armenia","$912,605.62","19 Players"
2018,30,"Pakistan","$896,217.07","66 Players"
2018,31,"Belgium","$886,351.05","141 Players"
2018,32,"Indonesia","$880,415.93","360 Players"
2018,33,"Saudi Arabia","$790,281.26","36 Players"
2018,34,"Czech Republic","$779,385.52","186 Players"
2018,35,"Singapore","$715,483.88","214 Players"
2018,36,"Estonia","$687,358.24","51 Players"
2018,37,"Lebanon","$680,790.55","24 Players"
2018,38,"Italy","$556,113.88","221 Players"
2018,39,"Switzerland","$506,836.56","123 Players"
2018,40,"Mexico","$504,262.78","135 Players"
2018,41,"Slovakia","$490,821.82","80 Players"
2018,42,"Argentina","$427,931.42","187 Players"
2018,43,"Hong Kong","$390,571.92","106 Players"
2018,44,"Kazakhstan","$381,054.49","68 Players"
2018,45,"Hungary","$348,432.73","121 Players"
2018,46,"Greece","$347,478.41","128 Players"
2018,47,"Belarus","$307,038.50","90 Players"
2018,48,"Croatia","$289,198.57","46 Players"
2018,49,"Lithuania","$273,107.56","82 Players"
2018,50,"New Zealand","$270,752.43","80 Players"
2018,51,"Portugal","$265,951.26","194 Players"
2018,52,"South Africa","$261,456.74","141 Players"
2018,53,"Austria","$255,275.75","184 Players"
2018,54,"Romania","$237,885.09","102 Players"
2018,55,"Bosnia and Herzegovina","$232,758.45","12 Players"
2018,56,"Latvia","$225,604.77","94 Players"
2018,57,"Serbia","$213,011.15","70 Players"
2018,58,"Peru","$202,527.19","108 Players"
2018,59,"Ireland","$185,668.29","59 Players"
2018,60,"Macao","$172,189.85","15 Players"
2018,61,"Slovenia","$159,496.41","32 Players"
2018,62,"Chile","$155,351.80","118 Players"
2018,63,"India","$144,575.13","124 Players"
2018,64,"Gibraltar","$119,304.51","1 Player"
2018,65,"Colombia","$99,811.06","41 Players"
2018,66,"Dominican Republic","$84,988.56","12 Players"
2018,67,"United Arab Emirates","$69,672.84","28 Players"
2018,68,"Moldova, Republic of","$64,777.79","7 Players"
2018,69,"Puerto Rico","$61,445.12","9 Players"
2018,70,"Kyrgyzstan","$54,299.99","25 Players"
2018,71,"Malta","$53,229.74","41 Players"
2018,72,"Tunisia","$49,346.16","19 Players"
2018,73,"Mongolia","$47,936.18","21 Players"
2018,74,"Iceland","$47,050.97","16 Players"
2018,75,"Uruguay","$41,266.96","20 Players"
2018,76,"Palestine, State of","$38,889.50","4 Players"
2018,77,"Kuwait","$38,702.09","26 Players"
2018,78,"Myanmar","$36,767.84","73 Players"
2018,79,"North Macedonia","$35,762.50","10 Players"
2018,80,"Cuba","$32,998.35","4 Players"
2018,81,"Panama","$31,585.00","7 Players"
2018,82,"Morocco","$28,649.29","13 Players"
2018,83,"Venezuela","$26,318.50","17 Players"
2018,84,"Montenegro","$23,742.98","3 Players"
2018,85,"Ethiopia","$22,796.63","1 Player"
2018,86,"Algeria","$19,249.31","14 Players"
2018,87,"Egypt","$15,794.49","16 Players"
2018,88,"Ecuador","$11,593.33","3 Players"
2018,89,"Faroe Islands","$9,070.05","20 Players"
2018,90,"Guadeloupe","$8,330.00","1 Player"
2018,91,"Bolivia","$7,460.44","4 Players"
2018,92,"Uzbekistan","$7,430.59","5 Players"
2018,93,"Lao People's Democratic Republic","$7,305.66","28 Players"
2018,94,"Azerbaijan","$7,035.21","12 Players"
2018,95,"Bahrain","$5,867.82","3 Players"
2018,96,"Syrian Arab Republic","$5,810.26","5 Players"
2018,97,"Iran, Islamic Republic of","$5,596.50","23 Players"
2018,98,"Iraq","$5,358.82","9 Players"
2018,99,"Mauritius","$5,344.33","2 Players"
2018,100,"Luxembourg","$4,542.53","6 Players"
2018,101,"Brunei Darussalam","$4,217.33","25 Players"
2018,102,"Nicaragua","$3,802.88","1 Player"
2018,103,"Georgia","$3,799.88","13 Players"
2018,104,"Guatemala","$3,753.33","7 Players"
2018,105,"Jersey","$3,333.33","1 Player"
2018,106,"Afghanistan","$3,000.00","1 Player"
2018,107,"Cambodia","$2,250.00","26 Players"
2018,108,"Costa Rica","$2,091.56","6 Players"
2018,109,"Kosovo, Republic of","$1,841.83","5 Players"
2018,110,"Greenland","$1,500.00","1 Player"
2018,111,"Albania","$1,346.55","3 Players"
2018,112,"New Caledonia","$1,000.00","1 Player"
2018,113,"Bangladesh","$600.00","6 Players"
2018,114,"Qatar","$570.28","1 Player"
2018,115,"Trinidad and Tobago","$543.38","1 Player"
2018,116,"Zambia","$411.24","2 Players"
2018,117,"El Salvador","$409.72","1 Player"
2018,118,"Sri Lanka","$285.14","1 Player"
2018,119,"French Polynesia","$227.17","1 Player"
2018,120,"Bermuda","$200.00","1 Player"
2018,121,"Bahamas","$197.00","1 Player"
2018,122,"Cyprus","$133.33","1 Player"
2018,123,"Maldives","$121.54","2 Players"
2018,124,"Yemen","$120.00","1 Player"
2018,125,"Monaco","$113.00","1 Player"
2018,126,"Paraguay","$54.94","1 Player"
2018,127,"United States Minor Outlying Islands","$30.00","1 Player"
2018,128,"Isle of Man","$15.00","1 Player"
2019,1,"United States","$46,485,324.97","6291 Players"
2019,2,"China","$24,862,306.39","1461 Players"
2019,3,"Korea, Republic of","$17,397,423.94","1229 Players"
2019,4,"France","$10,709,398.98","1342 Players"
2019,5,"Finland","$9,981,949.03","388 Players"
2019,6,"Denmark","$9,858,449.95","526 Players"
2019,7,"Canada","$8,237,265.97","979 Players"
2019,8,"United Kingdom","$7,229,564.08","1019 Players"
2019,9,"Sweden","$7,073,564.19","597 Players"
2019,10,"Australia","$6,916,060.41","941 Players"
2019,11,"Brazil","$6,374,129.77","1209 Players"
2019,12,"Germany","$6,230,524.46","1199 Players"
2019,13,"Russian Federation","$5,653,624.47","896 Players"
2019,14,"Japan","$3,666,316.79","712 Players"
2019,15,"Norway","$3,602,053.79","245 Players"
2019,16,"Philippines","$3,454,042.11","318 Players"
2019,17,"Netherlands","$3,248,916.29","493 Players"
2019,18,"Poland","$3,066,070.59","539 Players"
2019,19,"Taiwan, Republic of China","$3,006,507.06","326 Players"
2019,20,"Austria","$2,819,763.06","206 Players"
2019,21,"Thailand","$2,556,184.41","626 Players"
2019,22,"Malaysia","$2,486,373.53","296 Players"
2019,23,"Bulgaria","$2,301,167.58","86 Players"
2019,24,"Argentina","$2,228,729.79","241 Players"
2019,25,"Indonesia","$2,108,230.46","696 Players"
2019,26,"Spain","$1,954,474.62","542 Players"
2019,27,"Jordan","$1,755,236.25","26 Players"
2019,28,"Hong Kong","$1,614,108.88","99 Players"
2019,29,"Viet Nam","$1,473,678.60","554 Players"
2019,30,"Ukraine","$1,391,638.29","303 Players"
2019,31,"Italy","$1,226,910.52","253 Players"
2019,32,"Lebanon","$1,168,118.58","30 Players"
2019,33,"Belgium","$1,065,164.96","201 Players"
2019,34,"Romania","$1,063,526.31","103 Players"
2019,35,"Estonia","$1,008,902.87","46 Players"
2019,36,"Peru","$993,038.28","126 Players"
2019,37,"Switzerland","$937,407.25","184 Players"
2019,38,"Mexico","$861,141.24","190 Players"
2019,39,"India","$823,434.19","252 Players"
2019,40,"Turkey","$784,902.80","203 Players"
2019,41,"New Zealand","$771,751.75","101 Players"
2019,42,"Saudi Arabia","$753,886.98","123 Players"
2019,43,"Israel","$727,147.80","77 Players"
2019,44,"Pakistan","$638,113.55","105 Players"
2019,45,"Czech Republic","$603,216.24","248 Players"
2019,46,"Kazakhstan","$526,841.80","105 Players"
2019,47,"Singapore","$513,983.22","221 Players"
2019,48,"Belarus","$505,548.43","120 Players"
2019,49,"Portugal","$484,187.54","241 Players"
2019,50,"Slovenia","$474,904.51","51 Players"
2019,51,"Slovakia","$410,407.72","64 Players"
2019,52,"Lithuania","$363,173.02","88 Players"
2019,53,"Croatia","$290,043.48","63 Players"
2019,54,"Kyrgyzstan","$274,785.80","15 Players"
2019,55,"Serbia","$268,226.48","96 Players"
2019,56,"Latvia","$260,362.38","83 Players"
2019,57,"Bosnia and Herzegovina","$248,754.99","19 Players"
2019,58,"Hungary","$232,950.70","128 Players"
2019,59,"Ireland","$232,037.90","79 Players"
2019,60,"Greece","$217,996.22","95 Players"
2019,61,"Bolivia","$207,351.83","11 Players"
2019,62,"Chile","$193,101.49","121 Players"
2019,63,"Macao","$180,421.62","17 Players"
2019,64,"Tunisia","$150,616.17","18 Players"
2019,65,"United Arab Emirates","$131,597.67","50 Players"
2019,66,"South Africa","$121,658.21","109 Players"
2019,67,"North Macedonia","$115,936.88","22 Players"
2019,68,"Myanmar","$115,608.87","112 Players"
2019,69,"Uzbekistan","$103,733.93","21 Players"
2019,70,"Egypt","$88,899.20","27 Players"
2019,71,"Palestine, State of","$86,455.13","6 Players"
2019,72,"Puerto Rico","$85,233.41","16 Players"
2019,73,"Uruguay","$79,749.08","25 Players"
2019,74,"Afghanistan","$74,245.60","1 Player"
2019,75,"Iceland","$74,134.78","46 Players"
2019,76,"Iraq","$69,429.70","38 Players"
2019,77,"Mongolia","$65,371.08","28 Players"
2019,78,"Dominican Republic","$60,324.87","40 Players"
2019,79,"Colombia","$60,087.93","55 Players"
2019,80,"Algeria","$50,973.35","12 Players"
2019,81,"Cuba","$45,402.33","16 Players"
2019,82,"Kosovo, Republic of","$41,016.85","12 Players"
2019,83,"Montenegro","$40,123.48","5 Players"
2019,84,"Syrian Arab Republic","$38,854.08","8 Players"
2019,85,"Morocco","$38,572.69","27 Players"
2019,86,"Malta","$38,526.34","39 Players"
2019,87,"Albania","$37,459.64","14 Players"
2019,88,"Luxembourg","$37,149.72","16 Players"
2019,89,"Cambodia","$37,136.78","56 Players"
2019,90,"Azerbaijan","$32,767.62","48 Players"
2019,91,"Iran, Islamic Republic of","$32,656.74","53 Players"
2019,92,"Kuwait","$29,611.09","20 Players"
2019,93,"Costa Rica","$28,138.87","29 Players"
2019,94,"Armenia","$26,845.97","10 Players"
2019,95,"Georgia","$22,885.10","22 Players"
2019,96,"Oman","$17,725.00","4 Players"
2019,97,"Nepal","$15,316.64","7 Players"
2019,98,"Bahrain","$14,879.49","5 Players"
2019,99,"Greenland","$13,825.00","2 Players"
2019,100,"Guatemala","$13,719.92","7 Players"
2019,101,"Moldova, Republic of","$13,143.10","10 Players"
2019,102,"Venezuela","$12,193.37","31 Players"
2019,103,"Qatar","$11,897.26","9 Players"
2019,104,"Paraguay","$11,720.03","17 Players"
2019,105,"Lao People's Democratic Republic","$11,299.61","38 Players"
2019,106,"Ecuador","$10,249.84","18 Players"
2019,107,"French Polynesia","$8,345.77","1 Player"
2019,108,"Nicaragua","$7,563.83","5 Players"
2019,109,"Honduras","$3,911.87","8 Players"
2019,110,"Senegal","$3,450.00","6 Players"
2019,111,"Ghana","$2,808.76","5 Players"
2019,112,"Brunei Darussalam","$2,742.36","26 Players"
2019,113,"Gibraltar","$2,400.00","1 Player"
2019,114,"New Caledonia","$2,000.00","1 Player"
2019,115,"Turkmenistan","$1,670.40","6 Players"
2019,116,"Panama","$1,338.51","9 Players"
2019,117,"Zambia","$1,224.20","2 Players"
2019,118,"Jamaica","$838.63","2 Players"
2019,119,"Ethiopia","$733.33","1 Player"
2019,120,"Andorra","$648.62","2 Players"
2019,121,"Guadeloupe","$558.64","1 Player"
2019,122,"Monaco","$450.00","1 Player"
2019,123,"American Samoa","$350.00","1 Player"
2019,124,"Belize","$250.00","1 Player"
2019,125,"Sri Lanka","$210.00","1 Player"
2019,126,"Bangladesh","$200.00","1 Player"
2019,127,"Kenya","$150.00","1 Player"
2019,128,"Faroe Islands","$100.00","5 Players"
2019,129,"Trinidad and Tobago","$72.00","1 Player"
2019,130,"Côte D'Ivoire","$71.90","1 Player"
2019,131,"Jersey","$60.00","1 Player"
2019,132,"Liechtenstein","$28.00","1 Player"
2019,133,"Aruba","$14.17","1 Player"
2019,134,"El Salvador","$11.00","1 Player"
2020,1,"United States","$26,452,186.32","5712 Players"
2020,2,"China","$24,556,181.42","1632 Players"
2020,3,"Korea, Republic of","$11,267,854.85","1121 Players"
2020,4,"Brazil","$6,059,118.29","1155 Players"
2020,5,"France","$5,729,754.66","1162 Players"
2020,6,"United Kingdom","$5,054,711.85","948 Players"
2020,7,"Russian Federation","$4,862,810.82","942 Players"
2020,8,"Germany","$4,487,547.85","1283 Players"
2020,9,"Denmark","$4,448,802.14","487 Players"
2020,10,"Canada","$4,121,240.86","862 Players"
2020,11,"Thailand","$3,280,764.54","767 Players"
2020,12,"Japan","$3,108,360.30","770 Players"
2020,13,"Sweden","$2,934,820.40","563 Players"
2020,14,"Indonesia","$2,684,022.17","732 Players"
2020,15,"Australia","$2,586,258.24","827 Players"
2020,16,"Poland","$2,005,856.90","603 Players"
2020,17,"Taiwan, Republic of China","$1,949,947.96","300 Players"
2020,18,"Finland","$1,886,056.08","431 Players"
2020,19,"Viet Nam","$1,606,562.17","679 Players"
2020,20,"Spain","$1,591,592.89","613 Players"
2020,21,"Netherlands","$1,491,750.32","446 Players"
2020,22,"Norway","$1,424,313.34","252 Players"
2020,23,"Ukraine","$1,334,784.36","247 Players"
2020,24,"Malaysia","$1,039,791.63","294 Players"
2020,25,"Mexico","$971,338.05","307 Players"
2020,26,"Philippines","$963,981.65","310 Players"
2020,27,"Turkey","$906,228.40","267 Players"
2020,28,"Argentina","$878,842.14","278 Players"
2020,29,"Italy","$856,558.65","298 Players"
2020,30,"Singapore","$688,989.55","205 Players"
2020,31,"Czech Republic","$649,306.59","356 Players"
2020,32,"Bulgaria","$634,018.56","80 Players"
2020,33,"India","$597,484.19","303 Players"
2020,34,"Saudi Arabia","$590,793.72","198 Players"
2020,35,"Portugal","$542,769.01","234 Players"
2020,36,"Kazakhstan","$529,454.86","70 Players"
2020,37,"Belgium","$503,083.36","202 Players"
2020,38,"Slovenia","$476,015.74","29 Players"
2020,39,"Estonia","$460,821.33","78 Players"
2020,40,"Austria","$453,225.36","156 Players"
2020,41,"Jordan","$438,885.71","32 Players"
2020,42,"Hong Kong","$353,232.54","89 Players"
2020,43,"Peru","$333,631.76","131 Players"
2020,44,"Belarus","$329,751.53","105 Players"
2020,45,"Puerto Rico","$326,763.31","34 Players"
2020,46,"Serbia","$309,080.50","112 Players"
2020,47,"Switzerland","$305,428.75","170 Players"
2020,48,"Romania","$295,664.36","114 Players"
2020,49,"Chile","$286,466.43","150 Players"
2020,50,"Israel","$285,736.17","59 Players"
2020,51,"New Zealand","$278,383.39","79 Players"
2020,52,"Latvia","$265,178.28","75 Players"
2020,53,"Hungary","$229,634.88","154 Players"
2020,54,"Slovakia","$227,469.69","95 Players"
2020,55,"Greece","$208,152.53","98 Players"
2020,56,"Croatia","$199,146.13","63 Players"
2020,57,"Nepal","$173,927.38","59 Players"
2020,58,"Bosnia and Herzegovina","$168,711.48","25 Players"
2020,59,"Mongolia","$165,456.49","72 Players"
2020,60,"Ireland","$164,019.93","72 Players"
2020,61,"Uzbekistan","$159,810.66","20 Players"
2020,62,"Pakistan","$148,210.72","135 Players"
2020,63,"Lithuania","$147,774.42","120 Players"
2020,64,"Lebanon","$146,134.97","24 Players"
2020,65,"Iran, Islamic Republic of","$140,144.94","15 Players"
2020,66,"South Africa","$126,482.49","83 Players"
2020,67,"North Macedonia","$117,182.21","24 Players"
2020,68,"Cuba","$115,494.32","15 Players"
2020,69,"Armenia","$113,063.43","21 Players"
2020,70,"Morocco","$110,019.56","44 Players"
2020,71,"Colombia","$103,684.62","68 Players"
2020,72,"Moldova, Republic of","$98,127.98","12 Players"
2020,73,"Kyrgyzstan","$94,000.68","8 Players"
2020,74,"Myanmar","$88,494.94","74 Players"
2020,75,"Bangladesh","$73,719.16","29 Players"
2020,76,"Macao","$71,674.42","9 Players"
2020,77,"Bahrain","$66,646.00","10 Players"
2020,78,"Georgia","$52,550.27","23 Players"
2020,79,"Egypt","$52,502.26","35 Players"
2020,80,"Azerbaijan","$45,631.05","34 Players"
2020,81,"Syrian Arab Republic","$45,455.60","24 Players"
2020,82,"Algeria","$45,409.21","26 Players"
2020,83,"Kosovo, Republic of","$43,260.53","18 Players"
2020,84,"Montenegro","$40,986.60","5 Players"
2020,85,"Honduras","$38,307.00","2 Players"
2020,86,"Iraq","$37,529.24","22 Players"
2020,87,"Tunisia","$36,350.60","29 Players"
2020,88,"United Arab Emirates","$36,326.55","34 Players"
2020,89,"Dominican Republic","$36,040.68","29 Players"
2020,90,"Afghanistan","$36,000.00","1 Player"
2020,91,"Uruguay","$32,679.84","18 Players"
2020,92,"Bolivia","$31,853.07","7 Players"
2020,93,"Albania","$30,837.01","15 Players"
2020,94,"Venezuela","$30,333.39","13 Players"
2020,95,"Kuwait","$29,379.77","15 Players"
2020,96,"Costa Rica","$29,086.57","8 Players"
2020,97,"Iceland","$27,260.00","29 Players"
2020,98,"Oman","$23,133.93","4 Players"
2020,99,"Brunei Darussalam","$22,131.39","10 Players"
2020,100,"Lao People's Democratic Republic","$21,935.28","8 Players"
2020,101,"Guatemala","$21,692.50","10 Players"
2020,102,"Ecuador","$17,473.71","11 Players"
2020,103,"Nicaragua","$15,240.86","5 Players"
2020,104,"Luxembourg","$13,152.42","8 Players"
2020,105,"Qatar","$8,612.26","8 Players"
2020,106,"Malta","$7,898.62","21 Players"
2020,107,"Cambodia","$4,500.00","10 Players"
2020,108,"Paraguay","$3,971.15","4 Players"
2020,109,"Yemen","$3,720.00","2 Players"
2020,110,"Panama","$3,544.67","5 Players"
2020,111,"Sri Lanka","$3,500.00","4 Players"
2020,112,"Palestine, State of","$3,093.00","4 Players"
2020,113,"Trinidad and Tobago","$1,698.26","1 Player"
2020,114,"American Samoa","$1,400.00","1 Player"
2020,115,"Cyprus","$1,315.84","5 Players"
2020,116,"Senegal","$1,248.00","1 Player"
2020,117,"Gibraltar","$900.00","1 Player"
2020,118,"New Caledonia","$300.00","1 Player"
2020,119,"Faroe Islands","$200.00","1 Player"
2020,120,"Jersey","$120.00","1 Player"
2020,121,"Guernsey","$100.00","1 Player"
2020,122,"Jamaica","$75.75","1 Player"
2020,123,"Isle of Man","$60.00","1 Player"
2020,124,"Saint Barthélemy","$7.63","1 Player"
2020,125,"Monaco","$1.17","1 Player"
2021,1,"China","$51,549,194.38","2016 Players"
2021,2,"United States","$32,652,546.86","5284 Players"
2021,3,"Russian Federation","$22,991,593.00","1134 Players"
2021,4,"Korea, Republic of","$13,613,730.92","1143 Players"
2021,5,"Brazil","$10,669,486.53","1446 Players"
2021,6,"Ukraine","$10,483,019.29","352 Players"
2021,7,"Japan","$10,210,935.50","1062 Players"
2021,8,"United Kingdom","$6,878,354.29","1051 Players"
2021,9,"France","$6,190,625.85","1209 Players"
2021,10,"Denmark","$5,685,027.89","384 Players"
2021,11,"Canada","$5,471,967.83","785 Players"
2021,12,"Thailand","$5,183,282.53","869 Players"
2021,13,"Germany","$4,977,960.93","1190 Players"
2021,14,"Indonesia","$3,917,845.96","766 Players"
2021,15,"Malaysia","$3,745,581.78","484 Players"
2021,16,"Sweden","$3,743,532.39","479 Players"
2021,17,"Poland","$3,588,200.98","628 Players"
2021,18,"Philippines","$3,449,444.75","564 Players"
2021,19,"Australia","$3,254,880.79","715 Players"
2021,20,"Saudi Arabia","$3,008,235.81","324 Players"
2021,21,"Viet Nam","$2,865,774.93","789 Players"
2021,22,"Finland","$2,713,187.48","371 Players"
2021,23,"Taiwan, Republic of China","$2,521,895.60","417 Players"
2021,24,"Turkey","$2,424,523.36","555 Players"
2021,25,"Spain","$2,407,836.99","505 Players"
2021,26,"Argentina","$1,785,577.22","385 Players"
2021,27,"Mexico","$1,662,615.59","364 Players"
2021,28,"Netherlands","$1,481,778.02","456 Players"
2021,29,"Peru","$1,423,587.88","178 Players"
2021,30,"Norway","$1,288,460.16","250 Players"
2021,31,"Singapore","$1,195,983.76","280 Players"
2021,32,"Italy","$1,159,906.01","337 Players"
2021,33,"Czech Republic","$1,157,361.64","354 Players"
2021,34,"Kazakhstan","$1,006,701.59","82 Players"
2021,35,"Jordan","$970,068.36","30 Players"
2021,36,"Estonia","$876,235.59","97 Players"
2021,37,"India","$855,036.30","397 Players"
2021,38,"Bulgaria","$781,688.12","93 Players"
2021,39,"Serbia","$682,789.08","83 Players"
2021,40,"Slovenia","$669,759.28","26 Players"
2021,41,"Pakistan","$635,320.25","96 Players"
2021,42,"Portugal","$633,456.32","211 Players"
2021,43,"Mongolia","$632,934.00","98 Players"
2021,44,"Belarus","$611,148.20","82 Players"
2021,45,"Chile","$605,816.19","204 Players"
2021,46,"Belgium","$545,231.49","187 Players"
2021,47,"Israel","$526,181.67","48 Players"
2021,48,"Switzerland","$483,918.44","158 Players"
2021,49,"Austria","$437,981.63","108 Players"
2021,50,"Moldova, Republic of","$429,854.54","16 Players"
2021,51,"Croatia","$404,255.51","59 Players"
2021,52,"Hong Kong","$372,674.91","191 Players"
2021,53,"Egypt","$363,977.73","55 Players"
2021,54,"Romania","$361,325.13","142 Players"
2021,55,"North Macedonia","$358,012.59","29 Players"
2021,56,"Bosnia and Herzegovina","$322,900.92","21 Players"
2021,57,"Nepal","$312,491.74","58 Players"
2021,58,"Iraq","$292,451.84","37 Players"
2021,59,"Colombia","$289,963.46","83 Players"
2021,60,"Slovakia","$289,526.42","105 Players"
2021,61,"Uruguay","$284,097.89","48 Players"
2021,62,"Latvia","$272,805.10","98 Players"
2021,63,"South Africa","$271,713.40","194 Players"
2021,64,"Hungary","$251,780.27","165 Players"
2021,65,"Lebanon","$230,220.11","38 Players"
2021,66,"Azerbaijan","$227,770.32","16 Players"
2021,67,"New Zealand","$222,686.84","80 Players"
2021,68,"Morocco","$213,521.01","51 Players"
2021,69,"Bolivia","$208,571.00","20 Players"
2021,70,"Kuwait","$193,478.98","25 Players"
2021,71,"Lithuania","$186,514.38","87 Players"
2021,72,"Uzbekistan","$179,835.93","8 Players"
2021,73,"Greece","$177,516.47","100 Players"
2021,74,"Ireland","$174,032.55","57 Players"
2021,75,"Armenia","$164,782.23","10 Players"
2021,76,"Myanmar","$159,191.63","33 Players"
2021,77,"Syrian Arab Republic","$134,139.04","21 Players"
2021,78,"Puerto Rico","$129,977.83","31 Players"
2021,79,"Kosovo, Republic of","$108,255.39","28 Players"
2021,80,"Cambodia","$108,008.04","83 Players"
