"Current_year_Rank","Game","Total_Earnings","Total_Players","Total_Tournaments","Year"
106,"F1 2021","$15,939.00","14 Players","3 Tournaments",2022
107,"chessarena.com","$15,395.64","97 Players","15 Tournaments",2022
108,"Blaston","$15,055.44","22 Players","12 Tournaments",2022
109,"Melty Blood: Type Lumina","$13,357.90","43 Players","11 Tournaments",2022
110,"Echo Arena","$13,230.00","67 Players","6 Tournaments",2022
111,"Granblue Fantasy: Versus","$13,092.56","47 Players","10 Tournaments",2022
112,"Age of Empires III","$12,780.00","35 Players","12 Tournaments",2022
113,"Gears 5","$12,000.00","18 Players","14 Tournaments",2022
114,"Dead by Daylight Mobile","$10,000.00","0 Players","1 Tournament",2022
115,"Age of Mythology","$9,354.56","49 Players","39 Tournaments",2022
116,"Mortal Kombat 11","$8,983.66","30 Players","7 Tournaments",2022
117,"BlazBlue: Central Fiction","$8,436.30","31 Players","6 Tournaments",2022
118,"Vampire Savior","$8,386.43","16 Players","3 Tournaments",2022
119,"Skullgirls 2nd Encore","$8,150.00","16 Players","3 Tournaments",2022
120,"Beat Saber","$6,410.81","25 Players","2 Tournaments",2022
121,"Fall Guys","$6,000.00","0 Players","1 Tournament",2022
122,"Ultimate Marvel vs. Capcom 3","$5,852.14","28 Players","6 Tournaments",2022
123,"Tetris Effect: Connected","$5,773.67","22 Players","6 Tournaments",2022
124,"Under Night In-Birth EXE: Late[cl-r]","$5,740.88","17 Players","4 Tournaments",2022
125,"Guilty Gear Xrd REV 2","$5,122.93","15 Players","4 Tournaments",2022
126,"Street Fighter III: 3rd Strike","$5,049.60","30 Players","6 Tournaments",2022
127,"FIFA 23","$5,000.00","1 Player","1 Tournament",2022
128,"Roller Champions","$4,908.75","18 Players","2 Tournaments",2022
129,"Nock","$4,050.00","12 Players","2 Tournaments",2022
130,"Auto Chess","$4,000.00","8 Players","13 Tournaments",2022
131,"TrackMania Nations Forever","$3,944.82","17 Players","3 Tournaments",2022
132,"Tetr.io","$3,100.23","7 Players","1 Tournament",2022
133,"Super Smash Bros.","$2,871.00","18 Players","2 Tournaments",2022
134,"Them's Fightin' Herds","$2,640.00","8 Players","1 Tournament",2022
135,"Soul Calibur VI","$2,576.19","24 Players","6 Tournaments",2022
136,"Age of Empires Online","$2,353.00","21 Players","21 Tournaments",2022
137,"Super Street Fighter II Turbo","$2,193.84","19 Players","5 Tournaments",2022
138,"Power Rangers: Battle for the Grid","$2,036.20","10 Players","2 Tournaments",2022
139,"BlazBlue: Cross Tag Battle","$1,795.88","18 Players","3 Tournaments",2022
140,"Mario Kart 8 Deluxe","$1,500.00","12 Players","2 Tournaments",2022
141,"Quake Live","$1,500.00","6 Players","1 Tournament",2022
142,"Bloody Roar Extreme","$1,370.00","3 Players","1 Tournament",2022
143,"Killer Instinct (2013)","$1,336.58","8 Players","1 Tournament",2022
144,"Persona 4 Arena Ultimax","$1,320.00","8 Players","1 Tournament",2022
145,"Pavlov","$1,260.00","19 Players","3 Tournaments",2022
146,"Ultra Street Fighter IV","$1,141.16","10 Players","2 Tournaments",2022
147,"Windjammers 2","$1,056.07","3 Players","56 Tournaments",2022
148,"Rivals of Aether","$1,046.23","7 Players","2 Tournaments",2022
149,"Puyo Puyo Tetris 2","$1,001.62","7 Players","1 Tournament",2022
150,"Contractors","$1,000.00","20 Players","1 Tournament",2022
151,"Lemnis Gate","$1,000.00","2 Players","1 Tournament",2022
152,"Loco Dojo Unleashed","$1,000.00","4 Players","1 Tournament",2022
153,"SuperPlayer","$1,000.00","3 Players","1 Tournament",2022
154,"Guilty Gear XX Accent Core Plus R","$900.00","8 Players","1 Tournament",2022
155,"JoJo's Bizarre Adventure: All Star Battle R","$780.00","8 Players","1 Tournament",2022
156,"Capcom vs. SNK 2","$730.00","5 Players","2 Tournaments",2022
157,"Melty Blood: Actress Again Current Code","$650.00","8 Players","1 Tournament",2022
158,"Racket: NX","$500.00","3 Players","1 Tournament",2022
159,"Snapshot VR","$500.00","9 Players","1 Tournament",2022
160,"Xonotic","$500.00","3 Players","1 Tournament",2022
161,"Pocket Bravery","$452.35","3 Players","1 Tournament",2022
162,"Def Jam: Fight for NY","$360.00","3 Players","1 Tournament",2022
163,"Street Fighter Alpha 2","$350.00","3 Players","1 Tournament",2022
164,"TrackMania 2: Canyon","$327.38","4 Players","1 Tournament",2022
165,"Tekken Tag Tournament 2","$325.60","8 Players","1 Tournament",2022
166,"Slapshot Rebound","$300.00","8 Players","1 Tournament",2022
167,"Artifact Classic","$250.80","7 Players","4 Tournaments",2022
168,"Blankos Block Party","$250.00","3 Players","1 Tournament",2022
169,"Marvel vs. Capcom 2","$219.73","8 Players","1 Tournament",2022
170,"ARMS","$200.00","6 Players","2 Tournaments",2022
171,"Jak II","$0.00","14 Players","1 Tournament",2022
1,"Dota 2","$30,820,180.35","1016 Players","126 Tournaments",2023
2,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$21,219,991.17","1636 Players","73 Tournaments",2023
3,"Fortnite","$19,720,437.87","3279 Players","461 Tournaments",2023
4,"Arena of Valor","$19,185,451.77","653 Players","25 Tournaments",2023
5,"Counter-Strike: Global Offensive","$15,274,178.93","2405 Players","320 Tournaments",2023
6,"Rainbow Six Siege","$8,994,511.02","534 Players","25 Tournaments",2023
7,"VALORANT","$8,915,455.69","3049 Players","231 Tournaments",2023
8,"Rocket League","$8,740,034.05","1460 Players","435 Tournaments",2023
9,"League of Legends","$7,730,434.40","1436 Players","115 Tournaments",2023
10,"PLAYERUNKNOWN’S BATTLEGROUNDS","$7,621,442.45","566 Players","42 Tournaments",2023
11,"FIFA 23","$6,192,022.16","527 Players","98 Tournaments",2023
12,"Counter-Strike 2","$5,940,071.40","1858 Players","185 Tournaments",2023
13,"Call of Duty: Modern Warfare II","$5,483,126.90","212 Players","33 Tournaments",2023
14,"Apex Legends","$5,263,020.40","667 Players","37 Tournaments",2023
15,"Overwatch 2","$4,763,211.67","968 Players","77 Tournaments",2023
16,"CrossFire","$4,469,012.80","310 Players","24 Tournaments",2023
17,"Mobile Legends: Bang Bang","$4,286,794.60","1049 Players","41 Tournaments",2023
18,"NBA 2K23","$2,925,000.00","105 Players","9 Tournaments",2023
19,"Chess.com","$2,263,400.00","377 Players","154 Tournaments",2023
20,"StarCraft: Remastered","$2,202,619.43","172 Players","327 Tournaments",2023
21,"Teamfight Tactics","$2,184,608.34","255 Players","15 Tournaments",2023
22,"Halo Infinite","$2,079,304.05","121 Players","20 Tournaments",2023
23,"Brawl Stars","$2,066,500.00","214 Players","55 Tournaments",2023
24,"StarCraft II","$1,958,132.08","227 Players","312 Tournaments",2023
25,"Free Fire","$1,955,059.21","378 Players","6 Tournaments",2023
26,"Call of Duty: Mobile","$1,729,397.91","214 Players","14 Tournaments",2023
27,"Street Fighter 6","$1,654,972.50","313 Players","79 Tournaments",2023
28,"League of Legends: Wild Rift","$1,613,394.36","158 Players","9 Tournaments",2023
29,"Rennsport","$1,604,686.02","50 Players","6 Tournaments",2023
30,"Clash Royale","$1,486,799.68","160 Players","28 Tournaments",2023
31,"Naraka: Bladepoint","$1,449,200.00","77 Players","2 Tournaments",2023
32,"Tekken 7","$1,391,457.87","141 Players","35 Tournaments",2023
33,"Identity V","$1,387,670.58","173 Players","6 Tournaments",2023
34,"Clash of Clans","$1,304,714.50","177 Players","10 Tournaments",2023
35,"Madden NFL 23","$1,260,000.00","21 Players","2 Tournaments",2023
36,"World of WarCraft","$1,100,000.00","67 Players","25 Tournaments",2023
37,"CrossFire Mobile","$864,432.03","74 Players","6 Tournaments",2023
38,"Call of Duty: Warzone","$853,300.00","113 Players","16 Tournaments",2023
39,"Pokemon Unite","$840,432.50","324 Players","18 Tournaments",2023
40,"FIFA Online 4","$801,803.85","181 Players","11 Tournaments",2023
41,"Brawlhalla","$653,370.00","198 Players","39 Tournaments",2023
42,"Magic: The Gathering Arena","$600,000.00","60 Players","3 Tournaments",2023
43,"Madden NFL 24","$575,000.00","81 Players","4 Tournaments",2023
44,"CrossFire HD","$554,304.70","56 Players","2 Tournaments",2023
45,"EA Sports FC 24","$539,674.20","162 Players","38 Tournaments",2023
46,"Hearthstone","$506,240.58","59 Players","8 Tournaments",2023
47,"iRacing.com","$489,142.00","101 Players","7 Tournaments",2023
48,"SMITE","$485,000.00","41 Players","2 Tournaments",2023
49,"Age of Empires II","$483,906.91","682 Players","284 Tournaments",2023
50,"Super Smash Bros. Ultimate","$443,892.61","229 Players","67 Tournaments",2023
51,"Minecraft","$397,505.00","120 Players","17 Tournaments",2023
52,"Trackmania (2020)","$371,446.25","416 Players","226 Tournaments",2023
53,"Street Fighter V: Champion Edition","$327,686.00","61 Players","5 Tournaments",2023
54,"WarCraft III: Reforged","$310,011.98","78 Players","125 Tournaments",2023
55,"Pokémon GO","$302,100.00","212 Players","33 Tournaments",2023
56,"Super Smash Bros. Melee","$291,814.86","142 Players","55 Tournaments",2023
57,"rFactor 2","$271,500.00","143 Players","6 Tournaments",2023
58,"chessarena.com","$247,968.00","86 Players","7 Tournaments",2023
59,"Quake Champions","$235,844.49","57 Players","9 Tournaments",2023
60,"World of Tanks","$232,309.43","140 Players","7 Tournaments",2023
61,"Age of Empires IV","$222,280.54","271 Players","125 Tournaments",2023
62,"Call of Duty: Modern Warfare III","$220,000.00","47 Players","5 Tournaments",2023
63,"Guilty Gear -STRIVE-","$214,627.42","80 Players","23 Tournaments",2023
64,"Magic: The Gathering Online","$210,000.00","23 Players","3 Tournaments",2023
65,"Hearthstone Battlegrounds","$205,347.12","77 Players","12 Tournaments",2023
66,"EA Sports FC Online","$191,089.21","55 Players","4 Tournaments",2023
67,"Point Blank","$162,566.78","88 Players","6 Tournaments",2023
68,"Summoners War: Sky Arena","$140,000.00","4 Players","1 Tournament",2023
69,"chess24","$139,100.00","10 Players","1 Tournament",2023
70,"NHL 23","$105,250.00","12 Players","4 Tournaments",2023
71,"DNF Duel","$100,000.00","8 Players","1 Tournament",2023
72,"Tetris","$71,750.97","80 Players","27 Tournaments",2023
73,"Age of Empires","$66,161.40","178 Players","45 Tournaments",2023
74,"osu!","$63,479.64","437 Players","65 Tournaments",2023
75,"Microsoft Excel","$60,400.00","50 Players","20 Tournaments",2023
76,"King of Fighters XV","$60,251.54","48 Players","10 Tournaments",2023
77,"Temtem","$60,000.00","33 Players","8 Tournaments",2023
78,"Multigaming","$58,409.04","17 Players","2 Tournaments",2023
79,"Dragon Ball FighterZ","$54,570.00","37 Players","9 Tournaments",2023
80,"GeoGuessr","$50,000.00","23 Players","1 Tournament",2023
81,"Farming Simulator 22","$48,654.04","43 Players","4 Tournaments",2023
82,"Melty Blood: Type Lumina","$43,972.10","21 Players","4 Tournaments",2023
83,"Gwent","$39,500.00","8 Players","1 Tournament",2023
84,"After-H","$35,677.82","43 Players","5 Tournaments",2023
85,"Granblue Fantasy: Versus","$31,700.00","34 Players","5 Tournaments",2023
86,"Assetto Corsa","$31,145.40","27 Players","4 Tournaments",2023
87,"Pokémon VGC","$30,500.00","36 Players","2 Tournaments",2023
88,"Mortal Kombat 1","$28,910.47","37 Players","4 Tournaments",2023
89,"Ultimate Marvel vs. Capcom 3","$27,000.00","12 Players","2 Tournaments",2023
90,"Mortal Kombat 11","$25,000.00","8 Players","1 Tournament",2023
91,"Critical Ops","$24,000.00","40 Players","1 Tournament",2023
92,"Lichess","$21,776.10","56 Players","20 Tournaments",2023
93,"Farming Simulator 19","$16,350.02","24 Players","1 Tournament",2023
94,"Virtua Fighter 5: Ultimate Showdown","$15,200.00","8 Players","1 Tournament",2023
95,"Heroes of the Storm","$11,496.19","50 Players","4 Tournaments",2023
96,"Assetto Corsa Competizione","$11,432.94","24 Players","3 Tournaments",2023
97,"Age of Mythology","$11,124.05","47 Players","38 Tournaments",2023
98,"Rezzil Player","$10,400.00","15 Players","2 Tournaments",2023
99,"Mario Kart 8 Deluxe","$9,650.00","8 Players","1 Tournament",2023
100,"Tetr.io","$8,800.19","18 Players","3 Tournaments",2023
101,"Team Fortress 2","$8,745.06","45 Players","2 Tournaments",2023
102,"Super Smash Bros.","$7,486.24","17 Players","2 Tournaments",2023
103,"Guilty Gear Xrd REV 2","$6,782.80","12 Players","2 Tournaments",2023
104,"Trackmania United Forever","$4,603.55","25 Players","2 Tournaments",2023
105,"Skullgirls 2nd Encore","$4,480.00","8 Players","1 Tournament",2023
106,"Tetris Effect: Connected","$3,821.30","19 Players","2 Tournaments",2023
107,"Roller Champions","$3,630.20","57 Players","17 Tournaments",2023
108,"Diabotical","$2,927.12","20 Players","14 Tournaments",2023
109,"Age of Empires Online","$2,775.00","24 Players","14 Tournaments",2023
110,"Age of Empires III","$2,700.00","31 Players","27 Tournaments",2023
111,"Guilty Gear XX Accent Core Plus R","$2,578.55","8 Players","1 Tournament",2023
112,"Blaston","$2,139.50","8 Players","4 Tournaments",2023
113,"BlazBlue: Central Fiction","$1,330.00","13 Players","3 Tournaments",2023
114,"TrackMania 2: Canyon","$1,088.79","4 Players","1 Tournament",2023
115,"Epic Roller Coasters VR","$1,000.00","3 Players","1 Tournament",2023
116,"Rivals of Aether","$1,000.00","6 Players","1 Tournament",2023
117,"Stick Fight the Game","$700.00","5 Players","2 Tournaments",2023
118,"Quake III Arena","$587.63","4 Players","1 Tournament",2023
119,"Beat Saber","$516.50","7 Players","1 Tournament",2023
120,"F1 22","$324.00","3 Players","1 Tournament",2023
121,"Artifact Classic","$193.38","6 Players","3 Tournaments",2023
122,"Street Fighter III: 3rd Strike","$160.58","2 Players","1 Tournament",2023
123,"Gran Turismo 7","$158.05","3 Players","1 Tournament",2023
124,"Call of Duty: Modern Warfare 2","$119.25","4 Players","2 Tournaments",2023
125,"Mortal Kombat XL","$60.00","1 Player","1 Tournament",2023
126,"Battlerite","$54.50","2 Players","1 Tournament",2023
127,"Slapshot Rebound","$50.00","4 Players","2 Tournaments",2023
128,"ARMS","$10.00","1 Player","1 Tournament",2023
129,"Dream Three Kingdoms 2","$0.00","0 Players","1 Tournament",2023
1,"Dota 2","$21,425,702.83","722 Players","79 Tournaments",2024
2,"Arena of Valor","$19,810,208.42","510 Players","12 Tournaments",2024
3,"Counter-Strike 2","$18,923,365.48","2198 Players","311 Tournaments",2024
4,"Fortnite","$11,258,813.65","1238 Players","165 Tournaments",2024
5,"League of Legends","$8,008,510.07","1049 Players","73 Tournaments",2024
6,"VALORANT","$6,897,609.19","1799 Players","91 Tournaments",2024
7,"EA Sports FC 24","$6,816,757.14","250 Players","38 Tournaments",2024
8,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$6,785,713.64","483 Players","30 Tournaments",2024
9,"Rainbow Six Siege","$6,640,147.30","310 Players","12 Tournaments",2024
10,"Rocket League","$5,983,811.47","3997 Players","343 Tournaments",2024
11,"Call of Duty: Modern Warfare III","$5,800,000.00","106 Players","10 Tournaments",2024
12,"Mobile Legends: Bang Bang","$4,817,758.60","299 Players","7 Tournaments",2024
13,"Apex Legends","$4,503,264.00","303 Players","8 Tournaments",2024
14,"PLAYERUNKNOWN’S BATTLEGROUNDS","$4,372,254.32","485 Players","26 Tournaments",2024
15,"Street Fighter 6","$3,543,324.15","187 Players","42 Tournaments",2024
16,"Teamfight Tactics","$3,239,164.04","339 Players","27 Tournaments",2024
17,"CrossFire","$2,794,522.10","284 Players","15 Tournaments",2024
18,"StarCraft II","$2,152,609.98","153 Players","158 Tournaments",2024
19,"Halo Infinite","$2,001,095.98","88 Players","6 Tournaments",2024
20,"Overwatch 2","$1,963,891.37","385 Players","17 Tournaments",2024
21,"Chess.com","$1,823,580.02","279 Players","151 Tournaments",2024
22,"League of Legends: Wild Rift","$1,668,003.70","102 Players","7 Tournaments",2024
23,"Free Fire","$1,614,900.00","155 Players","5 Tournaments",2024
24,"StarCraft: Remastered","$1,567,464.27","156 Players","192 Tournaments",2024
25,"Tekken 8","$1,506,651.86","208 Players","40 Tournaments",2024
26,"Madden NFL 24","$1,125,000.00","35 Players","2 Tournaments",2024
27,"Brawl Stars","$1,080,000.00","58 Players","4 Tournaments",2024
28,"Clash of Clans","$1,075,000.00","145 Players","8 Tournaments",2024
29,"Call of Duty: Warzone","$1,050,000.00","63 Players","1 Tournament",2024
30,"Pokemon Unite","$999,900.00","391 Players","25 Tournaments",2024
31,"Identity V","$835,220.00","97 Players","2 Tournaments",2024
32,"Clash Royale","$787,990.00","55 Players","12 Tournaments",2024
33,"World of Tanks","$751,879.08","166 Players","6 Tournaments",2024
34,"Call of Duty: Mobile","$648,270.84","93 Players","5 Tournaments",2024
35,"Age of Empires II","$566,630.72","492 Players","261 Tournaments",2024
36,"CrossFire Mobile","$537,125.20","61 Players","7 Tournaments",2024
37,"Rennsport","$527,119.50","49 Players","3 Tournaments",2024
38,"EA Sports FC Online","$522,586.58","76 Players","7 Tournaments",2024
39,"Minecraft","$520,467.00","95 Players","16 Tournaments",2024
40,"Magic: The Gathering Arena","$400,000.00","20 Players","2 Tournaments",2024
41,"SMITE","$400,000.00","20 Players","1 Tournament",2024
42,"Mortal Kombat 1","$315,800.00","115 Players","22 Tournaments",2024
43,"WarCraft III: Reforged","$240,575.47","55 Players","37 Tournaments",2024
44,"King of Fighters XV","$232,672.09","54 Players","13 Tournaments",2024
45,"iRacing.com","$200,000.00","20 Players","1 Tournament",2024
46,"Age of Empires","$198,492.41","210 Players","53 Tournaments",2024
47,"Guilty Gear -STRIVE-","$196,889.69","89 Players","21 Tournaments",2024
48,"Age of Empires IV","$176,779.69","156 Players","69 Tournaments",2024
49,"Granblue Fantasy Versus: Rising","$154,742.80","79 Players","22 Tournaments",2024
50,"Trackmania (2020)","$146,697.23","237 Players","149 Tournaments",2024
51,"CrossFire HD","$137,560.00","47 Players","1 Tournament",2024
52,"Farming Simulator 22","$133,009.35","41 Players","5 Tournaments",2024
53,"Pokémon GO","$125,000.00","89 Players","10 Tournaments",2024
54,"Hearthstone","$121,712.41","68 Players","7 Tournaments",2024
55,"Super Smash Bros. Ultimate","$114,384.49","78 Players","18 Tournaments",2024
56,"Tetris","$110,213.02","102 Players","29 Tournaments",2024
57,"Super Smash Bros. Melee","$105,984.65","94 Players","29 Tournaments",2024
58,"Tekken 7","$101,290.00","28 Players","2 Tournaments",2024
59,"Madden NFL 25","$100,000.00","8 Players","1 Tournament",2024
60,"Under Night In-Birth II [Sys:Celes]","$76,510.86","66 Players","15 Tournaments",2024
61,"Forza Motorsport (2023)","$59,650.00","90 Players","5 Tournaments",2024
62,"Multigaming","$55,931.04","8 Players","1 Tournament",2024
63,"Hearthstone Battlegrounds","$49,183.07","32 Players","7 Tournaments",2024
64,"Street Fighter III: 3rd Strike","$46,546.78","37 Players","7 Tournaments",2024
65,"Age of Mythology","$42,124.55","52 Players","29 Tournaments",2024
66,"Stormgate","$40,294.36","90 Players","33 Tournaments",2024
67,"osu!","$28,328.52","224 Players","28 Tournaments",2024
68,"Killer Instinct (2013)","$26,870.00","13 Players","2 Tournaments",2024
69,"StarCraft: Evo Complete (Mod)","$22,013.18","38 Players","11 Tournaments",2024
70,"Skullgirls 2nd Encore","$20,270.00","16 Players","3 Tournaments",2024
71,"ZeroSpace","$20,000.00","11 Players","2 Tournaments",2024
72,"Dragon Ball FighterZ","$16,146.39","36 Players","8 Tournaments",2024
73,"Assetto Corsa Competizione","$14,056.35","84 Players","6 Tournaments",2024
74,"Deadlock","$12,610.00","27 Players","4 Tournaments",2024
75,"Quake Champions","$8,893.01","47 Players","7 Tournaments",2024
76,"Ultimate Marvel vs. Capcom 3","$6,410.14","21 Players","7 Tournaments",2024
77,"After-H","$4,600.00","13 Players","1 Tournament",2024
78,"Melty Blood: Type Lumina","$4,482.64","22 Players","7 Tournaments",2024
79,"BlazBlue: Central Fiction","$3,924.47","20 Players","4 Tournaments",2024
80,"Guilty Gear Xrd REV 2","$3,470.00","14 Players","3 Tournaments",2024
81,"Guilty Gear XX Accent Core Plus R","$3,400.21","16 Players","4 Tournaments",2024
82,"Pokémon TCG Pocket","$3,006.44","137 Players","43 Tournaments",2024
83,"Age of Empires III","$2,940.47","15 Players","8 Tournaments",2024
84,"Super Smash Bros. for Wii U","$2,000.00","8 Players","1 Tournament",2024
85,"GOALS","$1,841.26","4 Players","1 Tournament",2024
86,"Super Street Fighter II Turbo","$1,711.00","14 Players","3 Tournaments",2024
87,"RaceRoom Racing Experience","$1,581.30","10 Players","1 Tournament",2024
88,"Melty Blood: Actress Again Current Code","$1,507.51","8 Players","1 Tournament",2024
89,"Samurai Shodown (2019)","$1,385.00","5 Players","2 Tournaments",2024
90,"Vampire Savior","$1,220.00","9 Players","2 Tournaments",2024
91,"Capcom vs. SNK 2","$990.00","4 Players","2 Tournaments",2024
92,"Tibia","$952.94","1 Player","1 Tournament",2024
93,"Age of Empires Online","$951.42","17 Players","16 Tournaments",2024
94,"Persona 4 Arena Ultimax","$870.00","8 Players","1 Tournament",2024
95,"TrackMania Nations Forever","$857.59","3 Players","1 Tournament",2024
96,"BlazBlue: Cross Tag Battle","$810.00","8 Players","1 Tournament",2024
97,"Guilty Gear Xrd -SIGN-","$620.00","3 Players","1 Tournament",2024
98,"TrackMania 2: Canyon","$578.44","3 Players","1 Tournament",2024
99,"DNF Duel","$550.00","3 Players","1 Tournament",2024
100,"Street Fighter Alpha 2","$380.00","3 Players","1 Tournament",2024
101,"Call of Duty: Modern Warfare 3","$225.90","8 Players","4 Tournaments",2024
102,"Power Rangers: Battle for the Grid","$200.00","3 Players","1 Tournament",2024
103,"Idol Showdown","$188.00","3 Players","1 Tournament",2024
104,"ARMS","$185.00","5 Players","2 Tournaments",2024
